<https://hqdmtop.github.io/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#relationship>
<https://hqdmtop.github.io/hqdm#aggregation_part>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#aggregation>
<https://hqdmtop.github.io/hqdm#aggregation_part>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#spatio_temporal_extent>
<https://hqdmtop.github.io/hqdm#aggregation_whole>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#aggregation>
<https://hqdmtop.github.io/hqdm#aggregation_whole>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#spatio_temporal_extent>
<https://hqdmtop.github.io/hqdm#agree_contract>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#agree_contract>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#reaching_agreement>
<https://hqdmtop.github.io/hqdm#agree_contract_agree_contract_part_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agree_contract>
<https://hqdmtop.github.io/hqdm#agree_contract_agree_contract_part_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#contract_process>
<https://hqdmtop.github.io/hqdm#agree_contract_consists_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agree_contract>
<https://hqdmtop.github.io/hqdm#agree_contract_consists_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#part_of>
<https://hqdmtop.github.io/hqdm#agree_contract_member_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#agree_contract>
<https://hqdmtop.github.io/hqdm#agree_contract_member_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#class_of_agree_contract>
