<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregated_into>	<http://www.w3.org/2000/01/rdf-schema#range>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#spatio_temporal_extent>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#comment>	" A relationship where the whole is at least the sum of the parts."
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#relationship>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N354299e68c73472abdf4d1ef45977993
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N5bc8090365764628b7e2a9307a9a33ac
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:N6446c58fff83400c9509bbe22958023d
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	_:Nae04d7d59db74eb9b25a549b23690a5f
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2002/07/owl#disjointWith>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#classification>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2002/07/owl#disjointWith>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#defined_relationship>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2002/07/owl#disjointWith>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#function_>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#aggregation>	<http://www.w3.org/2002/07/owl#disjointWith>	<http://www.semanticweb.org/magma-core/ontologies/hqdm#specialization>
<http://www.semanticweb.org/magma-core/ontologies/hqdm#agree_contract>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2002/07/owl#Class>
